Timestamp,Open,High,Low,Close,Volume
2020-01-02,296.24,300.6,295.19,73.3560673193651,33911864
2020-01-03,297.15,300.58,296.5,72.6429002923215,36633878
2020-01-06,293.79,299.96,292.75,73.2217379135863,29644644
2020-01-07,299.84,300.9,297.48,72.8773661642262,27877655
2020-01-08,297.16,304.44,297.16,74.0496955237499,33090946
2020-01-09,307.24,310.43,306.2,75.6225707477776,42621542
2020-01-10,310.6,312.67,308.25,75.7935354460415,35217272
2020-01-13,311.64,317.07,311.15,77.4128153738836,30028742
2020-01-14,316.7,317.57,312.17,76.3674883616416,40653457
2020-01-15,311.85,315.5,309.55,76.0402130821079,30480882
2020-01-16,313.59,315.7,312.09,76.992730686721,27207254
2020-01-17,316.27,318.74,315.0,77.845111825208,34454117
2020-01-21,317.19,319.02,316.0,77.3175636134223,27235039
2020-01-22,318.58,319.99,317.31,77.5935494834769,25458115
2020-01-23,317.92,319.56,315.65,77.9672294668251,26117993
2020-01-24,320.25,323.33,317.52,77.7425330062497,36634380
2020-01-27,310.06,311.77,304.88,75.4564907551784,40485005
2020-01-28,312.6,318.4,312.19,77.5911071306445,40558486
2020-01-29,324.45,327.85,321.38,79.2152717641514,54149928
2020-01-30,320.54,324.09,318.75,79.1004811810313,31685808
2020-01-31,320.93,322.68,308.29,75.5932625137895,49897096
2020-02-03,304.3,313.49,302.22,75.3856625230405,43496401
2020-02-04,315.31,319.64,313.63,77.8744200591961,34154134
2020-02-05,323.52,324.76,318.95,78.5094317956048,29706718
2020-02-06,322.57,325.22,320.26,79.427756460565,26356385
2020-02-07,322.37,323.4,318.0,78.3506788615026,29421012
2020-02-10,314.18,321.55,313.85,78.7228096988288,27337215
2020-02-11,323.6,323.9,318.71,78.2478532353993,23580780
2020-02-12,321.47,327.22,321.47,80.1060591928371,28432573
2020-02-13,324.19,326.22,323.35,79.5356217908832,23686892
2020-02-14,324.74,325.98,322.85,79.5552076244267,20028447
2020-02-18,315.36,319.75,314.61,78.0985112546303,38190545
2020-02-19,320.0,324.57,320.0,79.2295931417663,23495991
2020-02-20,322.63,324.65,318.21,78.4167810497119,25141489
2020-02-21,318.62,320.45,310.5,76.6418148848339,32426415
2020-02-24,297.26,304.18,289.23,73.0012980749394,55548828
2020-02-25,300.95,302.53,286.13,70.5285865900749,57668364
2020-02-26,286.53,297.88,286.5,71.6474273312462,49678431
2020-02-27,281.1,286.0,272.96,66.9639648851614,80151381
2020-02-28,257.26,278.41,256.37,66.9247932180744,106721230
2020-03-02,282.28,301.44,277.72,73.1555365140943,85349339
2020-03-03,303.67,304.0,285.8,70.8321670099989,79868852
2020-03-04,296.44,303.4,293.13,74.1176905869178,54794568
2020-03-05,295.52,299.55,291.41,71.7135295194555,46893219
2020-03-06,282.0,290.82,281.23,70.7611683634037,56544246
2020-03-09,263.75,278.09,263.0,65.1645164283541,71686208
2020-03-10,277.14,286.44,269.37,69.8577717912107,71322520
2020-03-11,277.39,281.22,271.86,67.431576661012,64094970
2020-03-12,255.94,270.0,248.0,60.7723932562285,104618517
2020-03-13,264.89,279.92,252.95,68.0534268760175,92683032
2020-03-16,241.95,259.08,240.0,59.2985592820815,80605865
2020-03-17,247.51,257.61,238.4,61.9059233725574,81013965
2020-03-18,239.77,250.0,237.12,60.3904695021306,75058406
2020-03-19,247.39,252.84,242.61,59.9277541846658,67964255
2020-03-20,247.18,251.83,228.0,56.1232060188447,100423346
2020-03-23,228.08,228.5,212.61,54.9309184018853,84188208
2020-03-24,236.36,247.69,234.3,60.4418823151822,71882773
2020-03-25,250.75,258.25,244.3,60.108923144943,75900510
2020-03-26,246.52,258.68,246.36,63.2720352622152,63140169
2020-03-27,252.75,255.87,247.05,60.6524300257746,51054153
2020-03-30,250.74,255.52,249.4,62.3833280651798,41994110
2020-03-31,255.6,262.49,252.0,62.2560201471471,49250501
2020-04-01,246.5,248.72,239.13,58.980289487,44054638
2020-04-02,240.34,245.15,236.9,59.9644776225599,41483493
2020-04-03,242.8,245.7,238.97,59.1027009466467,32470017
2020-04-06,250.9,263.11,249.38,64.2586716269681,50455071
2020-04-07,270.8,271.7,259.0,63.5144099523158,50721831
2020-04-08,262.74,267.37,261.23,65.1400341364247,42223821
2020-04-09,268.7,270.07,264.7,65.6100941414683,40529123
2020-04-13,268.31,273.7,265.83,66.8978626969521,32755731
2020-04-14,280.0,288.25,278.05,70.2764189832026,48748672
2020-04-15,282.4,286.33,280.63,69.6349829346536,32788641
2020-04-16,287.38,288.2,282.35,70.1882827322569,39281290
2020-04-17,284.69,286.95,276.86,69.2359215762052,53812478
2020-04-20,277.95,281.68,276.85,67.7988110399523,32503750
2020-04-21,276.28,277.25,265.43,65.7031268507998,45247893
2020-04-22,273.61,277.9,272.2,67.5956080169386,29264342
2020-04-23,275.87,281.75,274.87,67.3336474932946,31203582
2020-04-24,277.2,283.01,277.0,69.2775414724851,31627183
2020-04-27,281.8,284.54,279.95,69.3265060563438,29271893
2020-04-28,285.08,285.83,278.2,68.2027688567865,28001187
2020-04-29,284.73,289.67,283.89,70.4428985683222,34320204
2020-04-30,289.96,294.53,288.35,71.9289736884338,45765968
2020-05-01,286.25,299.0,285.85,70.7709612801755,60154175
2020-05-04,289.17,293.69,286.32,71.772287020086,33391986
2020-05-05,295.06,301.0,294.46,72.8495078649774,36937795
2020-05-06,300.46,303.24,298.87,73.6011142272085,35583438
2020-05-07,303.22,305.17,301.97,74.3625135062113,28803764
2020-05-08,305.64,310.35,304.29,76.1276867543175,33511985
2020-05-11,308.1,317.05,307.24,77.3255815447637,36486561
2020-05-12,317.83,319.69,310.91,76.4418886665657,40575263
2020-05-13,312.15,315.95,303.21,75.5189205493367,50155639
2020-05-14,304.51,309.79,301.53,75.9828593103906,39732269
2020-05-15,300.35,307.9,300.21,75.5336487639733,41587094
2020-05-18,313.17,316.5,310.32,77.3133080325665,33843125
2020-05-19,315.03,318.52,313.01,76.8665521885886,25432385
2020-05-20,316.68,319.52,316.52,78.3614659742069,27876215
2020-05-21,318.66,320.89,315.87,77.7772467936204,25672211
2020-05-22,315.77,319.23,315.35,78.278006091266,20450754
2020-05-26,323.5,324.24,316.5,77.7477903643472,31380454
2020-05-27,316.14,318.71,313.09,78.0865393009897,28236274
2020-05-28,316.77,323.44,315.63,78.1209051351419,33449103
2020-05-29,319.25,321.15,316.47,78.0448093595193,38399532
2020-06-01,317.75,322.35,317.21,79.0045980133399,20254653
2020-06-02,320.75,323.44,318.93,79.3703486768163,21910704
2020-06-03,324.66,326.2,322.3,79.8072857110364,26122804
2020-06-04,324.39,325.62,320.78,79.1199690279935,21890091
2020-06-05,323.35,331.75,323.23,81.3733858673984,34312550
2020-06-08,330.25,333.6,327.32,81.8545075455284,23913634
2020-06-09,332.14,345.61,332.01,84.4393092142575,36928091
2020-06-10,347.9,354.77,346.09,86.6117208731609,41662938
