Timestamp,Open,High,Low,Close,Volume
2012-03-14,183.65,184.3199,181.14,9.113,3699700
2012-03-15,182.02,184.43,180.3,9.2215,4160100
2012-03-16,183.28,185.68,182.35,9.2525,4934000
2012-03-19,183.45,186.68,183.0,9.276,3903400
2012-03-20,184.88,194.41,182.88,9.6165,9165400
2012-03-21,192.5,194.28,191.26,9.5865,4214400
2012-03-22,190.54,194.06,190.26,9.62,3739600
2012-03-23,192.01,196.2,191.8,9.752,5984000
2012-03-26,196.48,202.97,195.5,10.1435,7613700
2012-03-27,203.59,209.85,202.88,10.272,9600800
2012-03-28,206.14,207.0,200.31,10.058,6245000
2012-03-29,201.28,205.31,200.63,10.2305,5711200
2012-03-30,205.02,206.85,201.87,10.1255,4438100
2012-04-02,198.02,199.9,197.0,9.9025,6430300
2012-04-03,198.24,202.39,197.5,9.983,5000700
2012-04-04,196.95,197.68,192.36,9.6995,5456900
2012-04-05,193.55,196.03,193.55,9.7195,3217500
2012-04-09,192.02,194.2,190.5,9.5935,3135900
2012-04-10,192.75,193.52,186.57,9.349,4455000
2012-04-11,189.63,191.97,186.79,9.3985,4337800
2012-04-12,188.06,192.26,185.61,9.5345,4027900
2012-04-13,189.9,189.94,186.26,9.423,3431800
2012-04-16,189.01,189.47,183.65,9.275,4044300
2012-04-17,187.21,190.04,186.87,9.4195,2829200
2012-04-18,188.82,193.45,188.74,9.5535,4001900
2012-04-19,192.93,194.55,189.75,9.555,4002400
2012-04-20,192.34,193.48,189.8,9.499,3243600
2012-04-23,188.99,188.99,185.51,9.412,3481000
2012-04-24,188.68,190.7,186.51,9.5165,3376300
2012-04-25,191.67,194.8,191.6,9.721,3955100
2012-04-26,193.57,196.36,193.02,9.7995,10234000
2012-04-27,224.83,228.69,220.22,11.3425,22116900
2012-04-30,223.95,233.84,223.05,11.595,9756900
2012-05-01,229.4,232.97,228.4,11.502,6754900
2012-05-02,227.82,231.44,227.4,11.5125,4593400
2012-05-03,229.74,232.53,228.03,11.4725,4055500
2012-05-04,227.8,229.7199,223.74,11.1995,4585200
2012-05-07,222.36,226.8675,222.29,11.258,3314300
2012-05-08,223.15,225.39,218.2,11.195,4522400
2012-05-09,220.59,225.78,220.16,11.149,3712000
2012-05-10,223.91,229.08,221.95,11.3345,4648400
2012-05-11,225.95,230.68,225.73,11.384,4193600
2012-05-14,225.6,227.29,222.51,11.1465,3096600
2012-05-15,226.5,230.61,223.0,11.2195,5713700
2012-05-16,225.0,228.0,222.5,11.203,5261800
2012-05-17,225.05,226.0,218.09,10.918,4505500
2012-05-18,219.41,219.63,212.81,10.6925,5231700
2012-05-21,214.03,219.98,212.82,10.9055,3579800
2012-05-22,218.31,218.87,213.96,10.7665,3733100
2012-05-23,214.71,217.55,211.18,10.864,4243800
2012-05-24,216.98,217.66,212.7,10.762,3141100
2012-05-25,214.99,215.98,212.22,10.6445,2171400
2012-05-29,214.3,216.55,212.29,10.7375,2693900
2012-05-30,212.14,212.98,207.752,10.4615,4078200
2012-05-31,209.48,213.7878,207.11,10.6455,4944000
2012-06-01,208.44,211.23,207.3,10.411,3951500
2012-06-04,207.4,215.35,206.37,10.7285,4299600
2012-06-05,213.85,216.86,211.16,10.6605,3543900
2012-06-06,214.63,218.4,214.52,10.882,2710100
2012-06-07,219.65,221.49,218.11,10.94,3503900
2012-06-08,218.61,219.42,216.66,10.924,2877000
2012-06-11,217.49,220.87,215.2,10.825,3749100
2012-06-12,217.65,218.0,214.5222,10.821,2833300
2012-06-13,215.52,217.38,213.52,10.7365,2325200
2012-06-14,215.26,216.5,212.56,10.7225,3060900
2012-06-15,215.29,219.33,214.46,10.9175,3785200
2012-06-18,217.28,223.76,216.73,11.133,3369600
2012-06-19,223.26,225.2,221.66,11.2015,2716600
2012-06-20,224.51,224.74,220.84,11.151,2444400
2012-06-21,223.84,226.03,220.52,11.02875,2843000
2012-06-22,221.83,222.51,219.35,11.108,2187500
2012-06-25,220.3,221.59,218.0,11.0035,2382300
2012-06-26,221.45,226.39,221.45,11.2805,3754100
2012-06-27,225.01,227.5,223.3,11.281,2799200
2012-06-28,223.92,224.62,218.75,11.0655,2994800
2012-06-29,224.7,228.35,223.71,11.4175,3614400
2012-07-02,229.3,229.34,226.34,11.466,2330700
2012-07-03,229.14,229.53,227.59,11.4765,1331700
2012-07-05,228.62,230.5,226.53,11.353,2682300
2012-07-06,226.35,228.9,224.18,11.2525,3203200
2012-07-09,225.0,226.0,223.45,11.2525,1922000
